Join_ID,GPS_Building_Code_,Point_Count
1,2209002425,1
1,2209002444,1
1,2209002450,1
1,2209002454,1
1,2209002456,1
1,2209002458,1
1,2209002478,1
1,2209002480,1
1,2209002486,1
1,2209002498,1
1,2209002510,1
1,2209002516,1
1,2209002518,1
1,2209002528,1
1,2209002534,1
1,2209002538,1
1,2209002544,1
1,2209002573,1
1,2209002577,1
1,2209002626,1
1,2209002698,1
1,2209002700,1
1,2209002702,1
1,2209002704,1
1,2209002706,1
1,2209002708,1
1,2209002712,1
1,2209002718,1
1,2209002724,1
1,2209002739,1
1,2209002760,1
1,2209002764,1
1,2209002768,1
1,2209002772,1
1,2209002774,1
1,2209002776,1
1,2209002780,1
1,2209002855,1
1,2209002863,1
1,2209002878,1
1,2209002890,1
1,2209002905,1
1,2209002929,1
1,2209002939,1
1,2209002965,1
1,2209002969,1
1,2209002971,1
1,2209003294,1
1,2209005172,1
1,2209005174,1
1,2209005176,1
1,2209005180,1
1,2209005182,1
1,2209005192,1
1,2209005202,1
1,2209005210,1
1,2209005224,1
1,2209005253,1
1,2209005257,1
1,2209005268,1
1,2209005273,1
1,2209005827,1
1,2209005955,1
1,2209005958,1
1,2209005962,1
1,2210000091,1
1,2210000094,1
1,2210000096,1
1,2210000104,1
1,2210000120,1
1,2210000122,1
1,2210000124,1
1,2210000126,1
1,2210000128,1
1,2210000130,1
1,2210000132,1
1,2210000134,1
1,2210000136,1
1,2210000991,1
1,2210001045,1
1,2210001055,1
1,2210001065,1
1,2210001067,1
1,2210001083,1
1,2210001095,1
1,2210001346,1
1,2210001348,1
1,2211000029,1
1,2211000031,1
1,2211000033,1
1,2211000036,1
1,2211000039,1
1,2211000042,1
1,2211000046,1
1,2211000048,1
1,2211000051,1
1,2211000053,1
1,2211000295,1
1,2211000994,1
1,2211000996,1
1,2211001002,1
1,2211001012,1
1,2211001016,1
1,2211001022,1
1,2211001030,1
1,2211001043,1
1,2211001051,1
1,2211001059,1
1,2211001065,1
1,2211001097,1
1,2211001130,1
1,2211001156,1
1,2211001175,1
1,2212000092,1
1,2212000154,1
1,2212000158,1
1,2301000018,1
1,2301000020,1
1,2301000022,1
1,2301000026,1
1,2301000046,1
1,2301000082,1
1,2301000092,1
1,2305000077,1
1,2305000095,1
1,2305000098,1
1,2401000187,1
1,2401000341,1
1,2401000343,1
1,2401000345,1
1,2401000350,1
1,2401000363,1
1,2401000373,1
1,2401000391,1
1,2401000400,1
1,2402000043,1
1,2402000049,1
1,2402000053,1
1,2402000060,1
1,2402000062,1
1,2402000063,1
1,2402000065,1
1,2402000067,1
1,2402000069,1
1,2402000070,1
1,2402000075,1
1,2402000079,1
1,2402000086,1
1,2402000088,1
1,2402000090,1
1,2402000092,1
1,2402000094,1
1,2402000112,1
1,2402000114,1
1,2402000116,1
1,2402000119,1
1,2402000129,1
1,2402000134,1
1,2402000138,1
1,2402000140,1
1,2402000142,1
1,2402000147,1
1,2402000151,1
1,2402000158,1
1,2402000160,1
1,2402000276,1
1,2402000278,1
1,2402000280,1
1,2402000282,1
1,2402000291,1
1,2402000293,1
1,2402000295,1
1,2402000301,1
1,2402000303,1
1,2402000305,1
1,2402000379,1
1,2402000382,1
1,2402000384,1
1,2402000386,1
1,2402000390,1
1,2402000392,1
1,2402000394,1
1,2402000396,1
1,2402000399,1
1,2402000459,1
1,2402000489,1
1,2402000493,1
1,2402000495,1
1,2402000508,1
1,2402000512,1
1,2402000531,1
1,2402000533,1
1,2402000535,1
1,2402000537,1
1,2402000541,1
1,2402000543,1
1,2402000545,1
1,2402000547,1
1,2402000551,1
1,2402000554,1
1,2402000556,1
1,2402000558,1
1,2402000561,1
